frame,y,x,minor,area,convexity,major,circularity,particle,label
1,33.9809,32.8177,1.3579,5.8641,0.8412,5.4983,0.4672,1,AFA855
2,32.5849,33.2326,1.4683,5.232,0.9029,4.537,0.5717,1,AFA855
3,30.5978,34.2889,1.3053,5.3976,0.8565,5.2652,0.4344,1,AFA855
4,31.3625,34.0313,1.6084,4.5038,0.924,3.5653,0.6556,1,AFA855
5,34.1523,32.5166,1.3605,7.0108,0.9308,6.5611,0.4073,1,AFA855
6,33.9472,32.7116,1.5842,6.5138,0.9349,5.2351,0.5775,1,AFA855
7,32.9399,33.375,1.8883,5.2058,0.9409,3.5101,0.7363,1,AFA855
8,30.6147,34.8724,1.5619,7.6343,0.8963,6.2233,0.478,1,AFA855
9,31.8689,34.0393,1.9801,5.3279,0.9562,3.426,0.8061,1,AFA855
10,34.6813,32.6886,1.5372,7.0849,0.9127,5.8682,0.4615,1,AFA855
11,34.2429,32.7934,1.6673,6.7972,0.9288,5.1907,0.5901,1,AFA855
12,32.8053,33.6094,1.7029,5.1491,0.9166,3.85,0.576,1,AFA855
13,31.2039,34.6582,1.768,7.7825,0.9253,5.6046,0.5939,1,AFA855
14,33.3664,33.4713,1.7426,6.492,0.9318,4.7434,0.5996,1,AFA855
15,33.388,33.3284,2.0962,6.2304,0.9571,3.7843,0.7795,1,AFA855
16,31.1229,35.1465,1.6251,7.8174,0.854,6.125,0.4676,1,AFA855
17,30.4912,35.5815,1.8663,6.7754,0.8546,4.6224,0.6112,1,AFA855
18,30.866,35.209,2.0358,5.7857,0.9425,3.6185,0.7732,1,AFA855
19,31.3138,34.7272,2.2242,6.3655,0.9552,3.6439,0.8162,1,AFA855
20,33.5558,32.8076,1.5757,7.8915,0.9275,6.3766,0.4816,1,AFA855
21,32.8514,33.156,1.9514,7.1983,0.9357,4.6968,0.6988,1,AFA855
22,30.9208,35.0153,1.8129,7.2724,0.8937,5.1075,0.597,1,AFA855
23,31.6576,34.3035,1.8266,4.6652,0.9545,3.2518,0.8056,1,AFA855
24,31.6919,34.2452,2.0395,4.203,0.963,2.6239,0.8968,1,AFA855
25,31.2867,34.6985,1.9676,5.4718,0.9536,3.5409,0.7883,1,AFA855
26,31.0544,34.9566,1.7246,5.027,0.9486,3.7114,0.7193,1,AFA855
27,31.3003,34.8181,1.7248,5.014,0.9419,3.7012,0.7224,1,AFA855
28,31.6829,34.3514,1.911,4.2335,0.9538,2.8206,0.849,1,AFA855
29,31.9217,34.0526,2.0231,4.6739,0.9576,2.9415,0.8581,1,AFA855
30,32.0858,33.9891,1.9952,4.8657,0.9646,3.105,0.8389,1,AFA855
31,32.0999,34.0979,2.0357,4.8134,0.9525,3.0106,0.8268,1,AFA855
32,32.1243,33.981,2.0578,4.7262,0.9631,2.9242,0.8711,1,AFA855
33,32.1689,33.8423,1.9439,4.7829,0.9552,3.1328,0.8246,1,AFA855
34,32.3654,33.736,2.1305,5.3322,0.9645,3.1867,0.8694,1,AFA855
35,32.3223,33.6832,1.9471,4.796,0.9594,3.1362,0.8344,1,AFA855
36,32.416,33.7394,2.1085,5.4412,0.9593,3.2858,0.8066,1,AFA855
37,32.3031,33.9177,2.0636,5.0619,0.9631,3.1232,0.8463,1,AFA855
38,32.546,33.6477,1.7642,5.4936,0.9406,3.9647,0.6786,1,AFA855
39,33.0304,33.1208,1.6311,5.463,0.9421,4.2645,0.6757,1,AFA855
40,33.6035,32.5237,1.7234,7.0631,0.9474,5.2182,0.6139,1,AFA855
41,33.4599,32.6808,1.8946,6.8233,0.9371,4.5856,0.6922,1,AFA855
42,31.969,34.4054,1.6573,6.1432,0.9161,4.7196,0.5867,1,AFA855
43,30.6817,35.4264,1.3613,5.5633,0.845,5.2032,0.4725,1,AFA855
44,31.0883,35.2029,1.6687,6.4833,0.9034,4.9469,0.6075,1,AFA855
45,32.941,33.4664,1.7287,6.3743,0.9396,4.695,0.599,1,AFA855
46,34.7453,31.5651,1.5699,6.8451,0.9359,5.5518,0.5105,1,AFA855
47,34.3938,31.8088,1.9307,8.2447,0.9427,5.4372,0.6231,1,AFA855
48,33.0256,33.2948,1.7402,4.0896,0.9557,2.9923,0.8282,1,AFA855
49,31.4803,34.8804,1.4486,6.2478,0.8993,5.4915,0.4988,1,AFA855
50,29.9381,35.7479,1.3021,4.857,0.8592,4.7492,0.4641,1,AFA855
51,30.1814,35.6186,1.5512,5.9819,0.8366,4.91,0.5195,1,AFA855
52,30.3668,35.606,1.2237,3.876,0.8371,4.0328,0.4941,1,AFA855
53,31.1818,34.9445,1.435,4.6608,0.9082,4.1354,0.6317,1,AFA855
54,32.3114,33.6354,1.7276,5.9383,0.9439,4.3766,0.6423,1,AFA855
55,34.2876,31.666,1.5556,6.4397,0.9411,5.2709,0.5511,1,AFA855
56,34.1898,31.7217,1.9688,7.6169,0.9515,4.9259,0.6804,1,AFA855
57,33.2417,32.8354,2.1266,6.7231,0.9557,4.0252,0.7609,1,AFA855
